ts,cmc_total_mcap_usd,cmc_total_vol_24h_usd,cmc_btc_mcap_usd,cmc_eth_mcap_usd,cmc_btc_dominance,cmc_eth_dominance,cmc_total_mcap_usd_ret1,cmc_total_mcap_usd_ret7,cmc_total_mcap_usd_ret30,cmc_btc_mcap_usd_ret1,cmc_btc_mcap_usd_ret7,cmc_btc_mcap_usd_ret30,cmc_eth_mcap_usd_ret1,cmc_eth_mcap_usd_ret7,cmc_eth_mcap_usd_ret30,mc_z_30,btc_dom_z_30,mcap_vol_ratio_total,mcap_vol_ratio_btc,mcap_vol_ratio_eth
2019-06-15,277221502376.0726,62783537605.83246,,,,,0.01559973902190944,0.0866467177919072,0.1091651061913666,,,,,,,1.491337973295216,,4.415512616006513,,
2019-06-16,281220703689.28485,76846350616.11774,,,,,0.014322949226183474,0.1396415906262254,0.19283426300692555,,,,,,,1.696782120143186,,3.6595193061816222,,
2019-06-17,289750100524.3889,53119591546.076126,,,,,0.029879045721912304,0.12459993913371332,0.23644353790700456,,,,,,,2.2178220964418607,,5.45467485895592,,
2019-06-18,282025068754.2374,54409623644.86688,,,,,-0.027022865876012086,0.10422965231856748,0.09955380537595258,,,,,,,1.4931208532718188,,5.18336738726632,,
2019-06-19,289100385446.2219,50874688479.48678,,,,,0.024778019005331914,0.09832098213558653,0.1534874240768643,,,,,,,1.8356473042205304,,5.682597654878816,,
2019-06-20,292900939760.51135,57270350262.82914,,,,,0.013060480013313697,0.10623598170270342,0.15895495604472298,,,,,,,1.9023857393485628,,5.1143556555234895,,
2019-06-21,308799519999.8318,68729477658.65201,,,,,0.05285780144738308,0.12347516856002182,0.2521810362499295,,,,,,,2.595436455804172,,4.492970564006004,,
2019-06-22,324828861808.3435,98633017327.78973,,,,,0.05060620084232484,0.1584816303804371,0.2818687574129974,,,,,,,2.947981338698392,,3.293307561795774,,
2019-06-23,326386508509.21356,70006525249.41995,,,,,0.00478382342439817,0.14894250457865185,0.2699583606240404,,,,,,,2.5825975078080297,,4.662229804241254,,
2019-06-24,330117541309.2187,64651452681.831116,,,,,0.011366488815492862,0.13042994767223245,0.2732653210479751,,,,,,,2.3943254135719623,,5.106111736325935,,
2019-06-25,345923412673.2436,79924745480.08264,,,,,0.046768623073747864,0.20422143662199244,0.2557873676730922,,,,,,,2.5920119005606077,,4.32811403521389,,
2019-06-26,367699479757.2107,136327204841.12984,,,,,0.06104857354889096,0.24049199116555162,0.29039974459358975,,,,,,,2.801272389581316,,2.6971834432145267,,
2019-06-27,320336309072.8529,121851315969.048,,,,,-0.13789456368111588,0.08953694747112183,0.15571084457725895,,,,,,,1.1966339597582787,,2.628911362387116,,
2019-06-28,348689498098.8226,103168101042.88481,,,,,0.08481042616343024,0.1214895721871689,0.23966552325862106,,,,,,,1.8796707190842492,,3.3798189030723718,,
2019-06-29,344144699228.54504,92709341923.35616,,,,,-0.013119629709276753,0.057763741635567446,0.27104077100122564,,,,,,,1.6005159651777194,,3.7120822140346257,,
2019-06-30,313012947888.63855,86572070710.26436,,,,,-0.0948176494817021,-0.04183773127053283,0.13795110215305362,,,,,,,0.6809762680997716,,3.6156342954555942,,
2019-07-01,310619496954.86,90472770945.37575,,,,,-0.0076758760876432545,-0.06088009617366902,0.13673180594508513,,,,,,,0.5758538169806484,,3.4332926217369977,,
2019-07-02,313228029031.5744,93240232103.92432,,,,,0.00836277189714575,-0.09928594735027116,0.12354427764105817,,,,,,,0.6123151630287523,,3.359365608211428,,
2019-07-03,337760998122.7567,88179921186.05196,,,,,0.07540708666944881,-0.0849274342297132,0.2598748107365748,,,,,,,1.2084908064518336,,3.830361760134832,,
2019-07-04,319290005025.93634,77797546991.28531,,,,,-0.056238742757825734,-0.003271613306423016,0.2612953008149358,,,,,,,0.6484727291709255,,4.104114041818085,,
2019-07-05,315117503042.93146,72292887165.74677,,,,,-0.013154201660017155,-0.10123624112987041,0.23171999768557866,,,,,,,0.4824851646171718,,4.358900514243646,,
2019-07-06,320006106906.71924,64951290902.63308,,,,,0.015394484893149435,-0.0727221265274443,0.24151823345160234,,,,,,,0.5740044510194354,,4.9268629223464195,,
2019-07-07,328309385724.67206,61969236524.41904,,,,,0.025616333269613167,0.047711856223871044,0.24231376389725579,,,,,,,0.7664577231162895,,5.297941432525176,,
2019-07-08,344926790229.3798,71740236552.14638,,,,,0.04937577931481408,0.1047635116263284,0.30516207586489486,,,,,,,1.197718288376577,,4.8079962766593365,,
2019-07-09,348276778879.8885,82718765331.58809,,,,,0.009665312987216122,0.1060660527163989,0.35349931246024563,,,,,,,1.2439625300372947,,4.210372065924573,,
2019-07-10,333445156744.2656,101042953221.90004,,,,,-0.04351910097754734,-0.012860134930597423,0.2650595142682738,,,,,,,0.7167705807483907,,3.3000337590290734,,
2019-07-11,310279314207.1654,90231194170.72829,,,,,-0.07200549890764461,-0.028626891080416397,0.19970659442149558,,,,,,,-0.13709863704629224,,3.4387144829323613,,
2019-07-12,322442208171.8177,72227626068.83015,,,,,0.03845101532882982,0.02297832590843049,0.2074709205620126,,,,,,,0.2470600947615342,,4.464250394503381,,
2019-07-13,311587389995.11285,64085596423.80812,,,,,-0.03424407609783992,-0.026660235082558693,0.16808136401797577,,,,,,,-0.25582669453030477,,4.862050248148375,,
2019-07-14,278806170016.84607,71750951059.27531,,,,,-0.11116303535115775,-0.16343960370332966,0.02129971407675322,,,,,,,-1.665831784007792,,3.885748772675042,,
2019-07-15,291514935863.0524,81750776564.38713,,,,,0.04457443316862579,-0.16824094984951807,0.05027440822346963,,,,,,,-1.1805195957526278,,3.565898063775021,,
2019-07-16,255125142631.12234,77927705561.16663,,,,,-0.13333706223654404,-0.3112433250732782,-0.09738560323925789,,,,,,,-2.532420031658219,,3.2738695537605786,,
2019-07-17,263760948420.82532,82511905476.76045,,,,,0.03328901433548425,-0.23443520976024648,-0.0939756346256859,,,,,,,-2.0290747500656443,,3.1966411016300404,,
2019-07-18,289362827473.0687,80156894532.4527,,,,,0.0926381645388421,-0.06979154631375964,0.0256853957891683,,,,,,,-1.0680484145163118,,3.6099555647819654,,
2019-07-19,286525904192.89777,65503779379.90907,,,,,-0.009852410969294846,-0.11809497261188413,-0.008945034185458325,,,,,,,-1.1703696252851412,,4.37418889269127,,
2019-07-20,294830006159.90466,64788270349.42519,,,,,0.028569991839824862,-0.05528090467421935,0.0065644776410529225,,,,,,,-0.8535063012280951,,4.5506695049857955,,
2019-07-21,290936857968.4036,55149469492.980515,,,,,-0.0132926792375496,0.04258945143938884,-0.05958600304387971,,,,,,,-0.9665796934809107,,5.275424417372399,,
2019-07-22,283777712394.03723,53699085821.66916,,,,,-0.02491503184932876,-0.026900013578565665,-0.13510723573553327,,,,,,,-1.1610787015658477,,5.284591125749195,,
2019-07-23,272811403428.165,57781576573.11247,,,,,-0.0394105023329706,0.06702654632500778,-0.17930156149290205,,,,,,,-1.4510632281175784,,4.721425402489147,,
2019-07-24,273076500671.96243,59864151565.75818,,,,,0.0009712516531170091,0.03470878364264062,-0.18969679865527786,,,,,,,-1.3374914125647275,,4.561603121895074,,
